Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/Гейнер;3346;"Anabolic peak";3346;ГН-000013;шт;1300;руб;;;;;;;;;;;;нет;0;0
Категории/L-карнитин;3347;"L-carnitine 3000 (93 000 mg.)";3347;ЛК-000012;шт;450;руб;;;;;;;"L-carnitine 3000 - поможет повысить общую  выносливость в аэробных видах спорта. ";;;;;нет;0;0
Категории/Аминокислоты;2841;"Amino 1";2841;АМ-000018;шт;825;руб;;;;;;;"Amino 1 является спортивной пищевой добавкой в состав которой входит аминокислотный комплекс ВСАА. ";;;;;нет;0;0
Категории/Аминокислоты;2843;"Amino 2000";2843;АМ-000005;шт;550;руб;;;;;;;"Amino 2000 – мощный аминокислотный комплекс, обеспечивающий полный спектр аминокислот для эффективного роста мышц.";;;;;нет;0;0
"Категории/Витамины и минералы";3843;"Vitamin for woman  30 caps";3843;ВИТ-109031;шт;125;руб;;;;;;;"Биологически активная добавка Vita-min Plus for women – комплекс витаминов и минералов для женщин. Продукт обогащен растительными экстрактами. Поддержит женское здоровье, укрепит организм.";;;;;нет;0;0
Категории/Аминокислоты;2844;"Amino 20K";2844;АМ-000004;шт;500;руб;;;;;;;"Ультраэффективный многофункциональный аминокислотный продукт Amino 20K создан специально для восстановления после силовых тренировок.";;;;;нет;0;0
Категории/Аминокислоты;2845;"Amino 2100";2845;АМ-000012;шт;575;руб;;;;;;;"GAT Amino 2100 - продукт с высоким коэффицентом протеина, созданный для достижения поставленной спортивной цели.";;;;;нет;0;0
Категории/Аминокислоты;2846;"Amino build Performance";2846;АМ-000025;шт;500;руб;;;;;;;"AMINO BUILD это уникальный в своем роде комплекс, который включает в себя три вида приема: -до, -во время, - и после тренировочного занятия.";;;;;нет;0;0
Категории/Аминокислоты;2848;"Amino Decanate";2848;АМ-000007;шт;575;руб;;;;;;;"AMINO DECANATE - новая передовая аминокислотная составляющая, созданная для получения максимального анаболического результата и для предотвращения недостатка катаболизма.";;;;;нет;0;0
Категории/Аминокислоты;2850;"Amino Energy";2850;АМ-000023;шт;475;руб;;;;;;;"Аминокислотный комплекс AmiNO Energy разработанный специалистами компании Optimum Nutrition создан специально для спортсменов, которые занимаются по усложненной программе.";;;;;нет;0;0
Категории/BCAA;2892;"BCAA 3-1-2 240 caps.";2892;ВСА-000016;шт;463;руб;;;;;;;"ВСАА 3:1:2 (в капсулах) способствует значительному приросту силы и выносливости во время тренировочных занятий. ";;;;;нет;0;0
Категории/BCAA;2891;"BCAA 20K";2891;ВСА-000014;шт;500;руб;;;;;;;"BCAA 20K – многофункциональный аминокислотный BCAA комплекс в порошковой форме для лучшего результата после каждой тренировки.";;;;;нет;0;0
Категории/BCAA;2890;"BCAA 1000 caps";2890;ВСА-000008;шт;750;руб;;;;;;;"Аминокислотный комплекс BCAA 1000 Caps от компании-производителя Optimum Nutrition считается одним из самых лучших ВСАА комплексов благодаря высоким уровням стандарта и качества.";;;;;нет;0;0
"Категории/Витамины и минералы";2889;"B-12 5000mcg";2889;ВИТ-000028;шт;150;руб;;;;;;;"Пищевая добавка VitaminB-12 – витаминный продукт, жизненно необходим для нормального функционирования кровеносной системы, сердца и поддержки энергообмена.";;;;;нет;0;0
